Place,Date,Class,Description
"Madison County, Arkansas",June 1970,(Class A), - Youths riding in back of pick-up have close observation of large biped crossing road
"Marion County, Arkansas",September 2022,(Class B), - Kayakers report camp intimidation all night long on Lower Buffalo River
"Marion County, Arkansas",December 2012,(Class A), - Motorist observes three bigfoots crossing before him at night east of Harrison
"Marion County, Arkansas",January 2004,(Class A), - Motorist has nighttime sighting on a mountain road north of Flippin
"Marion County, Arkansas",April 2006,(Class B), - Chemical Engineer hears possible vocalizations while turkey hunting in the Lower Buffalo National Wilderness Area
"Miller County, Arkansas",September 2012,(Class A), - Pre-dawn sighting on a rural road near Fouke
"Miller County, Arkansas",February 2000,(Class A), - Coon hunter and dogs experience close encounter in Sulphur River bottoms between Doddridge and Fouke. 
"Miller County, Arkansas",February 2001,(Class B), - Howling sound heard in the Boggy Creek area of Fouke Arkansas
"Miller County, Arkansas",January 2000,(Class A), - Sighting in wheat field near Fouke
"Miller County, Arkansas",November 1996,(Class A), - Truck driver sees a tall red eyed creature south of Fouke near the Sulphur River 
"Newton County, Arkansas",July 2018,(Class A), - Daylight sighting by two hikers at trailhead for Hideout Hollow in Buffalo National River.
"Polk County, Arkansas",August 2018,(Class B), - Possible daylight sighting by motorist 2 miles north of Mena
"Polk County, Arkansas",December 2016,(Class A), - Sighting at dusk by a Retired Police Officer with Anthropology Degree
"Polk County, Arkansas",October 2004,(Class A), - Dusk sighting and vocalizations around property near Cove
"Polk County, Arkansas",Summer 1998,(Class A), - Driver narrowly misses creature darting across mountainous stretch of highway
"Pope County, Arkansas",November 2018,(Class B)," - Intimidation of deer hunter one mile from ""Arkansas Sphinx"" rock formation."
"Pope County, Arkansas",June 2011,(Class B), - Group of friends hear possible howls near the Ozark National Forest
"Pope County, Arkansas",August 2003,(Class A), - Man while checking spooked cattle with his grandfather observes 8'-9' bipedal animal leaning against tree
"Pope County, Arkansas",November 1998,(Class A), - Man finds 3-toed prints & wife has sighting
"Pulaski County, Arkansas",February 2017,(Class A), - Motorist has daytime sighting while driving past Joseph T. Robinson military base
"Pulaski County, Arkansas",December 2012,(Class A), - Motorist views large bipedal animal squatting at night beside I-40 near Marche.
"Pulaski County, Arkansas",October 2010,(Class B), - Bowhunter intimidated by loud vocalizations at dark on Camp Robinson National Guard training base
"Pulaski County, Arkansas",September 1976,(Class A), - Memory told of a close daylight encounter with a white Bigfoot while riding a motorcycle inside Camp Joseph T. Robinson
"Pulaski County, Arkansas",Summer 1975,(Class A), - Youth has sighting from his backyard on Air Force Base
"Randolph County, Arkansas",November 2004-Present,(Class B), - Possible sightings and strange incidents experienced over time on rural property near Pocahontas
"Randolph County, Arkansas",Fall 1977,(Class A), - Daytime sighting between Pocahontas and Imboden
"Saline County, Arkansas",April 2014,(Class B), - Veterinarian reports possible activity and finds an interesting track line while camping near Paron
"Saline County, Arkansas",November 2010,(Class A), - Deer hunter has a late afternoon sighting through his rifle scope in the Winona Wildlife Management Area
"Saline County, Arkansas",March 2004,(Class A), - Early morning motorist driving to work sees bipedal animal running through field
"Saline County, Arkansas",Fall 1998,(Class A), - Two boys are chased by sasquatch
"Saline County, Arkansas",October 1994,(Class A), - Late night encounter near Benton
"Saline County, Arkansas",Fall mid 1970's,(Class B), - Surprise observation by two hunters on the opposite bank of the river
"Saline County, Arkansas",March 1975?,(Class B), - Two children have encounter west of Benton
"Searcy County, Arkansas",June 2004,(Class B), - Woman on horseback hears footsteps; observes animal running away through woods
"Searcy County, Arkansas",October 2002,(Class B), - Fisherman finds footprint near Witts Springs.
"Sebastian County, Arkansas",July 1988,(Class A)," - Man has extraordinary, close encounter while fishing near Huntington"
"Sebastian County, Arkansas",September 1986,(Class B), - Teenagers have nighttime sighting of animal near Milltown.
"Sevier County, Arkansas",February 2011,(Class B), - Possible footprints found in snow at a home near Lockesburg (w/photos)
"Sevier County, Arkansas",October 1989,(Class B), - Man recalls nighttime encounter near DeQueen
"St. Francis County, Arkansas",August 2001,(Class B), - Footprint found in Beck Spur area.
"Stone County, Arkansas",August 2017,(Class A), - Two fishermen describe daylight sighting 10 miles south of Mountain View.
"Union County, Arkansas",May 2005,(Class A), - 4' - 5.5' upright animal seen crossing dead-end road.
"Union County, Arkansas",November 2002,(Class A), - Squirrel Hunter has encounter south of El Dorado
"Union County, Arkansas", 1980's,(Class C), - Sighting by truck driver near Felsenthal Wildlife Refuge
"Washington County, Arkansas",October 2002,(Class A), - Daytime sighting by hiker near Spring Creek. 
"Washington County, Arkansas",November 1999,(Class B)," - Vocalizations, heavy footsteps & tree shaking"
"White County, Arkansas",December 2015,(Class A), - Motorist has a close sighting at dusk on AR-258 outside Bald Knob
"White County, Arkansas",November 2015,(Class A)," - Deer hunter encounters several Bigfoots, possibly a family unit, near Searcy"
"White County, Arkansas",May 2005,(Class B), - Vocalizations and wood knocks heard by fishermen near pond.
"Yell County, Arkansas",July 07-26-08,(Class B), - Possible sighting of an upright creature crossing the road at dusk by a woman driving to Spring Lake
"Yell County, Arkansas",December 2007,(Class B), - Multiple incidents around river slough south of Belleville
"Baxter County, Arkansas",February 2009,(Class A), - Motorist has close encounter on Mallard Point Road near Lake Norfork
"Baxter County, Arkansas",Winter 2003,(Class A), - Two fishermen have close-up sighting while driving home at night from Norfork Lake
"Baxter County, Arkansas",June 1997,(Class B), - Three fisherman hear thrashing about and loud vocalizations
"Baxter County, Arkansas",May 1995,(Class A), - Backyard sighting near Mountain Home. 
"Baxter County, Arkansas",June 1980,(Class B), - Youth hears vocalizations and is trailed while fishing on White River
"Baxter County, Arkansas",Fall 1972,(Class A), - Teenager has sighting near Ozark National Forest
"Benton County, Arkansas",October 1981,(Class A), - Motorist crossing a bridge sees sasquatch digging in the dirt below 
"Benton County, Arkansas",Spring 1994,(Class A), - Man riding 4-wheeler observes a bigfoot reaching into a tree
"Benton County, Arkansas",November 2000,(Class B)," - November, 2000, Arkansas, Benton"
"Carroll County, Arkansas",June 2001,(Class B), - Vocalizations heard by multiple witnesses
"Carroll County, Arkansas",May 1997,(Class A), - Father and two sons see a sasquatch near Holiday Island
"Carroll County, Arkansas",July 1994,(Class A), - Roadside sighting near Eureka Springs 
"Chicot County, Arkansas",July 2012,(Class A), - Motorist has nighttime sighting near Lake Village
"Clark County, Arkansas",September 1996,(Class A), - A daylight sighting in a cow pasture. The witness also mentioned that some of his cows have been killed
"Clark County, Arkansas",April 1984,(Class A), - Man working in wooded area sees bipedal animal standing on railroad tracks
"Cleveland County, Arkansas",June 2003,(Class A)," - Man sees a large, hairy upright creature in the headlights of his car near Kingsland"
"Cleveland County, Arkansas",July 2001,(Class A)," - Daylight sighting outside rural home in small community of Herbine, south of Rison"
"Conway County, Arkansas",Summer 2017,(Class A), - Late night sightings by resident near two homes in the Macedonia area
"Crawford County, Arkansas",September 1985,(Class A), - Man recalls incident while camping as a teenager near Cedarville
"Crittenden County, Arkansas",June 2006,(Class A)," - Motorists (father & son) close range, daylight, road crossing sighting along Mounds Rd. outside West Mephis"
"Crittenden County, Arkansas",October 1983,(Class B), - Loud screams menace hunters along Mississippi River around 4:00 am 
"Crittenden County, Arkansas",June 1980,(Class A), - Possible sighting by fisherman at Blue Lake.
"Desha County, Arkansas",May 2001,(Class A), - Late night sighting by motorist
"Desha County, Arkansas",June 1979,(Class A), - Two witnesses observe a Sasquatch at dusk in the White River National Wildlife Refuge
"Drew County, Arkansas",December 2011,(Class B), - Hunter finds his deer kill moved near Monticello
"Faulkner County, Arkansas",April 2010,(Class B), - Fisherman finds possible footprints near Grassy Lake (w/photo)
"Fulton County, Arkansas",January 2008,(Class A), - Man has a close daytime encounter with a probable Bigfoot family outside Hardy
"Fulton County, Arkansas",March 1997,(Class A), - Motorist has nighttime sighting of bipedal animal at roadside
"Garland County, Arkansas",September 1992,(Class A), - Woman remembers she and a male friend watching an upright creature walking on the edge of moonlit Lake Hamilton
"Grant County, Arkansas",April 1973,(Class A), - Two young hunters hide and watch hairy bipedal animal walking near the Jenkins Ferry Battleground Historical Monument
"Greene County, Arkansas",January 1988,(Class A), - Large bipedal animal observes couple parking behind school gymnasium
"Hempstead County, Arkansas",May 1978,(Class A), - Woman experienced terrifying close encounter as a child and later as a teenager.
"Hot Spring County, Arkansas",April 2012,(Class B), - Man and wife experience intimidation behavior near Malvern
"Hot Spring County, Arkansas",December 2005,(Class A), - Early morning sighting by resident along Highway 7 near Bismarck.
"Hot Spring County, Arkansas",October 2005,(Class B), - Two sets of tracks found near Lake DeGray.
"Hot Spring County, Arkansas",February 1992,(Class B), - Vocalizations heard on remote piece of Arkansas property.
"Hot Spring County, Arkansas",October 1998,(Class A)," - From top of hill, hunter observes bipedal creature following a fence row"
"Hot Spring County, Arkansas",October 1996,(Class A), - Nightime sighting by motorists on Hwy 7 North
"Independence County, Arkansas",November 2011,(Class A)," - Mother & daughter have unusual, close-up encounter on the road at night near Newark"
